Antibiotique,Argannot,card,ncbi,resfinder
Aminoglycoside,1.0,1.0,1.0,1.0
Carbapénème,0.0,1.0,1.0,1.0
Cephalosporine,0.0,0.0,0.0,1.0
Clindamycin,0.0,0.0,0.0,1.0
Céphalosporine,1.0,1.0,1.0,1.0
Fluoroquinolone,1.0,1.0,1.0,1.0
Fosfomycin,0.0,1.0,1.0,1.0
Glycopeptide,1.0,1.0,1.0,1.0
Lincosamide,0.0,1.0,1.0,1.0
Macrolide,1.0,1.0,1.0,1.0
Mupirocin,1.0,1.0,1.0,0.0
ND,1.0,1.0,1.0,1.0
Oxazolidinone,1.0,1.0,1.0,0.0
Penicilline,0.0,1.0,0.0,1.0
Phénicol,0.0,1.0,1.0,0.0
Polypeptides,1.0,0.0,1.0,1.0
Pénicilline,0.0,0.0,1.0,1.0
Quinuprsitin+Dalfospristin,0.0,0.0,0.0,1.0
Rifamycin,0.0,1.0,1.0,1.0
Rifamycine,1.0,0.0,0.0,0.0
Sulfamide,1.0,0.0,0.0,1.0
Sulfonamide,0.0,1.0,1.0,0.0
Tetracycline,1.0,1.0,1.0,1.0
aztreonam,0.0,0.0,0.0,1.0
trimethoprim,1.0,0.0,1.0,1.0
